eps,n,m,good,zeros,cost
0.001,10,10,0,1,351937.09
0.001,10,10,1,1,39445.10
0.001,10,10,2,1,25841.40
0.001,10,10,3,1,7064.23
0.001,20,20,0,1,677587.19
0.001,20,20,1,1,75943.96
0.001,20,20,2,1,49752.64
0.001,20,20,3,1,39512.58
0.001,20,20,4,1,33725.79
0.001,20,20,5,1,9713.67
0.001,20,20,6,1,9713.67
0.001,30,30,0,1,1049848.39
0.001,30,30,1,1,117666.99
0.001,30,30,2,1,77086.36
0.001,30,30,3,1,61220.49
0.001,30,30,4,1,52254.48
0.001,30,30,5,1,46324.98
0.001,30,30,6,1,42039.96
0.001,30,30,7,1,38761.04
0.001,30,30,8,1,12425.75
0.001,40,40,0,1,1222508.85
0.001,40,40,1,1,137018.77
0.001,40,40,2,1,89764.16
0.001,40,40,3,1,71288.95
0.001,40,40,4,1,60848.37
0.001,40,40,5,1,53943.69
0.001,40,40,6,1,48953.95
0.001,40,40,7,1,45135.77
0.001,40,40,8,1,42094.78
0.001,40,40,9,1,39600.00
0.001,40,40,10,1,12661.77
0.001,40,40,11,1,12661.77
0.001,50,50,0,1,1650832.77
0.001,50,50,1,1,185025.30
0.001,50,50,2,1,121214.36
0.001,50,50,3,1,96266.08
0.001,50,50,4,1,82167.49
0.001,50,50,5,1,72843.65
0.001,50,50,6,1,66105.68
0.001,50,50,7,1,60949.75
0.001,50,50,8,1,56843.30
0.001,50,50,9,1,53474.44
0.001,50,50,10,1,50647.00
0.001,50,50,11,1,48230.67
0.001,50,50,12,1,46135.07
0.001,50,50,13,1,15440.41
0.001,60,60,0,1,2120932.76
0.001,60,60,1,1,237714.10
0.001,60,60,2,1,155732.01
0.001,60,60,3,1,123679.32
0.001,60,60,4,1,105565.95
0.001,60,60,5,1,93587.00
0.001,60,60,6,1,84930.29
0.001,60,60,7,1,78306.13
0.001,60,60,8,1,73030.30
0.001,60,60,9,1,68702.11
0.001,60,60,10,1,65069.52
0.001,60,60,11,1,61965.09
0.001,60,60,12,1,59272.75
0.001,60,60,13,1,56909.14
0.001,60,60,14,1,54812.72
0.001,60,60,15,1,18270.65
0.001,60,60,16,1,18270.65
0.001,70,70,0,1,2301039.51
0.001,70,70,1,1,257900.46
0.001,70,70,2,1,168956.56
0.001,70,70,3,1,134182.00
0.001,70,70,4,1,114530.47
0.001,70,70,5,1,101534.28
0.001,70,70,6,1,92142.45
0.001,70,70,7,1,84955.78
0.001,70,70,8,1,79231.94
0.001,70,70,9,1,74536.20
0.001,70,70,10,1,70595.13
0.001,70,70,11,1,67227.08
0.001,70,70,12,1,64306.11
0.001,70,70,13,1,61741.79
0.001,70,70,14,1,59467.34
0.001,70,70,15,1,57432.22
0.001,70,70,16,1,55597.39
0.001,70,70,17,1,53932.17
0.001,70,70,18,1,18504.56
0.001,80,80,0,1,2822094.75
0.001,80,80,1,1,316300.32
0.001,80,80,2,1,207215.66
0.001,80,80,3,1,164566.64
0.001,80,80,4,1,140465.14
0.001,80,80,5,1,124526.05
0.001,80,80,6,1,113007.50
0.001,80,80,7,1,104193.46
0.001,80,80,8,1,97173.49
0.001,80,80,9,1,91414.43
0.001,80,80,10,1,86580.94
0.001,80,80,11,1,82450.21
0.001,80,80,12,1,78867.80
0.001,80,80,13,1,75722.81
0.001,80,80,14,1,72933.33
0.001,80,80,15,1,70437.37
0.001,80,80,16,1,68187.06
0.001,80,80,17,1,66144.76
0.001,80,80,18,1,64280.42
0.001,80,80,19,1,62569.74
0.001,80,80,20,1,21394.81
0.001,80,80,21,1,21394.81
0.001,90,90,0,1,3003353.64
0.001,90,90,1,1,336615.81
0.001,90,90,2,1,220524.81
0.001,90,90,3,1,175136.50
0.001,90,90,4,1,149487.00
0.001,90,90,5,1,132524.17
0.001,90,90,6,1,120265.80
0.001,90,90,7,1,110885.65
0.001,90,90,8,1,103414.79
0.001,90,90,9,1,97285.85
0.001,90,90,10,1,92141.90
0.001,90,90,11,1,87745.87
0.001,90,90,12,1,83933.36
0.001,90,90,13,1,80586.37
0.001,90,90,14,1,77617.72
0.001,90,90,15,1,74961.45
0.001,90,90,16,1,72566.61
0.001,90,90,17,1,70393.14
0.001,90,90,18,1,68409.06
0.001,90,90,19,1,66588.49
0.001,90,90,20,1,64910.25
0.001,90,90,21,1,63356.78
0.001,90,90,22,1,61913.40
0.001,90,90,23,1,21624.90
0.001,100,100,0,1,3175308.02
0.001,100,100,1,1,355888.46
0.001,100,100,2,1,233150.76
0.001,100,100,3,1,185163.79
0.001,100,100,4,1,158045.75
0.001,100,100,5,1,140111.72
0.001,100,100,6,1,127151.52
0.001,100,100,7,1,117234.31
0.001,100,100,8,1,109335.72
0.001,100,100,9,1,102855.86
0.001,100,100,10,1,97417.40
0.001,100,100,11,1,92769.68
0.001,100,100,12,1,88738.89
0.001,100,100,13,1,85200.27
0.001,100,100,14,1,82061.66
0.001,100,100,15,1,79253.30
0.001,100,100,16,1,76721.35
0.001,100,100,17,1,74423.43
0.001,100,100,18,1,72325.76
0.001,100,100,19,1,70400.96
0.001,100,100,20,1,68626.63
0.001,100,100,21,1,66984.21
0.001,100,100,22,1,65458.20
0.001,100,100,23,1,64035.52
0.001,100,100,24,1,62705.07
0.001,100,100,25,1,21841.15
0.001,100,100,26,1,21841.15
